currency_from,currency_to,exchange_rate
eth,btc,0.03003944
eth,ltc,41.330341
eth,xrp,1804
eth,bch,8.973663
eth,eos,30769
eth,dot,2507
eth,link,229.399
link,eth,0.00435922
link,btc,0.00013096
link,ltc,0.18016806
link,xrp,7.864097
link,bch,0.03911817
link,eos,134.13
link,dot,10.930628
ltc,eth,0.0241953
ltc,btc,0.00072689
ltc,xrp,43.648672
ltc,bch,0.21712047
ltc,eos,744.472
ltc,dot,60.669
ltc,link,5.550373
doge,eth,3.687e-05
doge,btc,1.11e-06
doge,ltc,0.00152382
doge,xrp,0.0665129
doge,bch,0.00033085
doge,eos,1.134444
doge,dot,0.09244899
doge,link,0.00845779
aave,eth,0.05259699
aave,btc,0.00157995
aave,ltc,2.173852
aave,xrp,94.886
aave,bch,0.47198766
aave,eos,1618
aave,dot,131.886
aave,link,12.065687
btc,eth,33.278216
btc,ltc,1375
btc,xrp,60034
btc,bch,298.627
btc,eos,1023947
btc,dot,83444
btc,link,7634
uni,eth,0.00202807
uni,btc,6.092e-05
uni,ltc,0.0838209
uni,xrp,3.658671
uni,bch,0.01819923
uni,eos,62.402
uni,dot,5.085336
uni,link,0.46523729
xrp,eth,0.00055432
xrp,btc,1.666e-05
xrp,ltc,0.0229102
xrp,bch,0.00497427
xrp,eos,17.056004
xrp,dot,1.389941
xrp,link,0.12716019
eos,eth,3.25e-05
eos,btc,9.77445e-07
eos,ltc,0.00134323
eos,xrp,0.05863038
eos,bch,0.00029164
eos,dot,0.08149275
eos,link,0.00745545
avax,eth,0.00344252
avax,btc,0.00010341
avax,ltc,0.14228059
avax,xrp,6.210359
avax,bch,0.03089203
avax,eos,105.924
avax,dot,8.63203
avax,link,0.78971039
bch,eth,0.11143721
bch,btc,0.00334758
bch,ltc,4.605738
bch,xrp,201.034
bch,eos,3429
bch,dot,279.426
bch,link,25.563565
ada,eth,8.322e-05
ada,btc,2.5e-06
ada,ltc,0.00343955
ada,xrp,0.15013162
ada,bch,0.0007468
ada,eos,2.560646
ada,dot,0.20867405
ada,link,0.01909076
dot,eth,0.00039881
dot,btc,1.198e-05
dot,ltc,0.01648286
dot,xrp,0.71945517
dot,bch,0.00357877
dot,eos,12.27103
dot,link,0.09148605
