currency_from,currency_to,exchange_rate
aave,eth,0.05242573
aave,btc,0.00157201
aave,ltc,2.169361
aave,xrp,94.297
aave,bch,0.46983856
aave,eos,1610
aave,dot,131.542
aave,link,11.936773
avax,eth,0.00342858
avax,btc,0.00010281
avax,ltc,0.14187358
avax,xrp,6.166899
avax,bch,0.03072688
avax,eos,105.302
avax,dot,8.602669
avax,link,0.78065057
btc,eth,33.351026
btc,ltc,1380
btc,xrp,59988
btc,bch,298.891
btc,eos,1024312
btc,dot,83681
btc,link,7594
bch,eth,0.11158263
bch,btc,0.00334585
bch,ltc,4.617472
bch,xrp,200.717
bch,eos,3427
bch,dot,279.958
bch,link,25.407333
ada,eth,8.424e-05
ada,btc,2.53e-06
ada,ltc,0.00348602
ada,xrp,0.15153427
ada,bch,0.00075499
ada,eos,2.587288
ada,dot,0.2113579
ada,link,0.0191816
link,eth,0.00439204
link,btc,0.0001317
link,ltc,0.18174139
link,xrp,7.899855
link,bch,0.03936142
link,eos,134.893
link,dot,11.0201
doge,eth,3.68e-05
doge,btc,1.1e-06
doge,ltc,0.00152302
doge,xrp,0.06620422
doge,bch,0.00032985
doge,eos,1.130367
doge,dot,0.09234073
doge,link,0.0083803
eos,eth,3.257e-05
eos,btc,9.76308e-07
eos,ltc,0.00134867
eos,xrp,0.05859055
eos,bch,0.00029191
eos,dot,0.08171657
eos,link,0.00742003
eth,btc,0.02998541
eth,ltc,41.379688
eth,xrp,1799
eth,bch,8.961983
eth,eos,30713
eth,dot,2509
eth,link,227.689
ltc,eth,0.02416697
ltc,btc,0.00072466
ltc,xrp,43.468515
ltc,bch,0.21658402
ltc,eos,742.242
ltc,dot,60.637
ltc,link,5.502559
dot,eth,0.00039856
dot,btc,1.195e-05
dot,ltc,0.01649212
dot,xrp,0.71687242
dot,bch,0.00357185
dot,eos,12.240874
dot,link,0.09074689
xrp,eth,0.00055597
xrp,btc,1.667e-05
xrp,ltc,0.0230059
xrp,bch,0.0049826
xrp,eos,17.075563
xrp,dot,1.394989
xrp,link,0.12658852
uni,eth,0.00202854
uni,btc,6.083e-05
uni,ltc,0.08394055
uni,xrp,3.648691
uni,bch,0.01817978
uni,eos,62.303
uni,dot,5.089833
uni,link,0.46187768
