currency_from,currency_to,exchange_rate
eth,btc,0.03001153
eth,ltc,41.324966
eth,xrp,1804
eth,bch,8.967996
eth,eos,30791
eth,dot,2512
eth,link,228.732
link,eth,0.00437193
link,btc,0.00013122
link,ltc,0.1806698
link,xrp,7.884851
link,bch,0.03920744
link,eos,134.618
link,dot,10.983394
ltc,eth,0.02419845
ltc,btc,0.00072632
ltc,xrp,43.642332
ltc,bch,0.21701157
ltc,eos,745.105
ltc,dot,60.793
ltc,link,5.534959
doge,eth,3.684e-05
doge,btc,1.11e-06
doge,ltc,0.00152261
doge,xrp,0.0664504
doge,bch,0.00033042
doge,eos,1.134507
doge,dot,0.09256369
doge,link,0.0084276
aave,eth,0.05268137
aave,btc,0.00158098
aave,ltc,2.177056
aave,xrp,95.012
aave,bch,0.47244627
aave,eos,1622
aave,dot,132.349
aave,link,12.049915
btc,eth,33.298236
btc,ltc,1376
btc,xrp,60054
btc,bch,298.618
btc,eos,1025301
btc,dot,83654
btc,link,7616
uni,eth,0.00203177
uni,btc,6.097e-05
uni,ltc,0.08396292
uni,xrp,3.664337
uni,bch,0.01822092
uni,eos,62.561
uni,dot,5.104327
uni,link,0.46473133
xrp,eth,0.00055447
xrp,btc,1.665e-05
xrp,ltc,0.02291353
xrp,bch,0.0049725
xrp,eos,17.072993
xrp,dot,1.392974
xrp,link,0.12682548
eos,eth,3.248e-05
eos,btc,9.76111e-07
eos,ltc,0.00134209
eos,xrp,0.05857204
eos,bch,0.00029125
eos,dot,0.08158934
eos,link,0.00742843
avax,eth,0.00344357
avax,btc,0.00010334
avax,ltc,0.1423054
avax,xrp,6.21054
avax,bch,0.03088192
avax,eos,106.032
avax,dot,8.651121
avax,link,0.78765462
bch,eth,0.11150764
bch,btc,0.00334666
bch,ltc,4.608049
bch,xrp,201.106
bch,eos,3433
bch,dot,280.135
bch,link,25.505366
ada,eth,8.323e-05
ada,btc,2.5e-06
ada,ltc,0.00343935
ada,xrp,0.15010133
ada,bch,0.00074638
ada,eos,2.562679
ada,dot,0.20908728
ada,link,0.01903667
dot,eth,0.00039805
dot,btc,1.195e-05
dot,ltc,0.01644936
dot,xrp,0.71788841
dot,bch,0.0035697
dot,eos,12.256504
dot,link,0.09104654
