currency_from,currency_to,exchange_rate
eth,btc,0.02998247
eth,ltc,41.406542
eth,xrp,1799
eth,bch,8.962627
eth,eos,30699
eth,dot,2509
eth,link,227.811
link,eth,0.0043896
link,btc,0.00013162
link,ltc,0.18175831
link,xrp,7.897136
link,bch,0.03934238
link,eos,134.755
link,dot,11.012488
ltc,eth,0.02415077
ltc,btc,0.0007242
ltc,xrp,43.448554
ltc,bch,0.21645437
ltc,eos,741.396
ltc,dot,60.589
ltc,link,5.501812
doge,eth,3.678e-05
doge,btc,1.1e-06
doge,ltc,0.00152276
doge,xrp,0.06616153
doge,bch,0.00032961
doge,eos,1.128965
doge,dot,0.09226168
doge,link,0.00837791
aave,eth,0.05237811
aave,btc,0.00157037
aave,ltc,2.168796
aave,xrp,94.231
aave,bch,0.46944545
aave,eos,1608
aave,dot,131.404
aave,link,11.932309
btc,eth,33.342874
btc,ltc,1381
btc,xrp,59986
btc,bch,298.84
btc,eos,1023581
btc,dot,83649
btc,link,7596
uni,eth,0.00202599
uni,btc,6.074e-05
uni,ltc,0.08388924
uni,xrp,3.644866
uni,bch,0.01815819
uni,eos,62.195
uni,dot,5.082735
uni,link,0.46154283
xrp,eth,0.00055585
xrp,btc,1.666e-05
xrp,ltc,0.02301573
xrp,bch,0.00498185
xrp,eos,17.063771
xrp,dot,1.394491
xrp,link,0.12662819
eos,eth,3.257e-05
eos,btc,9.78025e-07
eos,ltc,0.00134881
eos,xrp,0.05860369
eos,bch,0.00029196
eos,dot,0.08172235
eos,link,0.00742088
avax,eth,0.00342712
avax,btc,0.00010275
avax,ltc,0.14190535
avax,xrp,6.165582
avax,bch,0.03071603
avax,eos,105.208
avax,dot,8.597852
avax,link,0.78073654
bch,eth,0.11157443
bch,btc,0.00334556
bch,ltc,4.619911
bch,xrp,200.728
bch,eos,3425
bch,dot,279.914
bch,link,25.417882
ada,eth,8.433e-05
ada,btc,2.53e-06
ada,ltc,0.00349195
ada,xrp,0.15172039
ada,bch,0.00075585
ada,eos,2.588922
ada,dot,0.21157277
ada,link,0.01921208
dot,eth,0.0003986
dot,btc,1.195e-05
dot,ltc,0.01650475
dot,xrp,0.71710733
dot,bch,0.00357252
dot,eos,12.236555
dot,link,0.090806
