currency_from,currency_to,exchange_rate
eth,btc,0.03003187
eth,ltc,41.311451
eth,xrp,1804
eth,bch,8.978264
eth,eos,30805
eth,dot,2508
eth,link,229.024
link,eth,0.00436636
link,btc,0.00013115
link,ltc,0.18038054
link,xrp,7.87854
link,bch,0.0392023
link,eos,134.507
link,dot,10.949279
ltc,eth,0.02420636
ltc,btc,0.00072704
ltc,xrp,43.677329
ltc,bch,0.21733112
ltc,eos,745.687
ltc,dot,60.701
ltc,link,5.543835
doge,eth,3.685e-05
doge,btc,1.11e-06
doge,ltc,0.00152234
doge,xrp,0.06649164
doge,bch,0.00033085
doge,eos,1.135188
doge,dot,0.09240742
doge,link,0.00843959
aave,eth,0.0525979
aave,btc,0.00157956
aave,ltc,2.172896
aave,xrp,94.906
aave,bch,0.47223782
aave,eos,1620
aave,dot,131.897
aave,link,12.046175
btc,eth,33.282057
btc,ltc,1375
btc,xrp,60053
btc,bch,298.815
btc,eos,1025268
btc,dot,83460
btc,link,7622
uni,eth,0.00203133
uni,btc,6.1e-05
uni,ltc,0.08391718
uni,xrp,3.665278
uni,bch,0.01823781
uni,eos,62.576
uni,dot,5.093856
uni,link,0.46522301
xrp,eth,0.00055421
xrp,btc,1.665e-05
xrp,ltc,0.02289517
xrp,bch,0.00497583
xrp,eos,17.072638
xrp,dot,1.38976
xrp,link,0.12692706
eos,eth,3.246e-05
eos,btc,9.76242e-07
eos,ltc,0.00134104
eos,xrp,0.05857326
eos,bch,0.00029145
eos,dot,0.08140276
eos,link,0.00743453
avax,eth,0.00344563
avax,btc,0.00010348
avax,ltc,0.14234386
avax,xrp,6.2172
avax,bch,0.03093575
avax,eos,106.144
avax,dot,8.640414
avax,link,0.78913088
bch,eth,0.11138011
bch,btc,0.0033451
bch,ltc,4.601274
bch,xrp,200.971
bch,eos,3431
bch,dot,279.302
bch,link,25.508704
ada,eth,8.328e-05
ada,btc,2.5e-06
ada,ltc,0.00344025
ada,xrp,0.15026114
ada,bch,0.00074767
ada,eos,2.565354
ada,dot,0.20882689
ada,link,0.01907221
dot,eth,0.00039878
dot,btc,1.198e-05
dot,ltc,0.01647419
dot,xrp,0.71954879
dot,bch,0.00358035
dot,eos,12.284596
dot,link,0.09133022
