currency_from,currency_to,exchange_rate
eth,btc,0.02999572
eth,ltc,41.278089
eth,xrp,1806
eth,bch,8.986403
eth,eos,30771
eth,dot,2513
eth,link,228.87
link,eth,0.00436929
link,btc,0.00013108
link,ltc,0.18035612
link,xrp,7.890225
link,bch,0.03926424
link,eos,134.447
link,dot,10.979187
ltc,eth,0.02422593
ltc,btc,0.00072675
ltc,xrp,43.748032
ltc,bch,0.21770395
ltc,eos,745.456
ltc,dot,60.875
ltc,link,5.544586
doge,eth,3.685e-05
doge,btc,1.11e-06
doge,ltc,0.00152099
doge,xrp,0.06654034
doge,bch,0.00033113
doge,eos,1.133831
doge,dot,0.09259036
doge,link,0.00843326
aave,eth,0.05269435
aave,btc,0.00158054
aave,ltc,2.175122
aave,xrp,95.157
aave,bch,0.47353271
aave,eos,1621
aave,dot,132.411
aave,link,12.060152
btc,eth,33.321456
btc,ltc,1375
btc,xrp,60173
btc,bch,299.44
btc,eos,1025334
btc,dot,83730
btc,link,7626
uni,eth,0.00202404
uni,btc,6.071e-05
uni,ltc,0.08354863
uni,xrp,3.655088
uni,bch,0.01818887
uni,eos,62.282
uni,dot,5.086026
uni,link,0.46324253
xrp,eth,0.00055376
xrp,btc,1.662e-05
xrp,ltc,0.02285817
xrp,bch,0.00497631
xrp,eos,17.03975
xrp,dot,1.391492
xrp,link,0.12673909
eos,eth,3.25e-05
eos,btc,9.76176e-07
eos,ltc,0.00134146
eos,xrp,0.05868631
eos,bch,0.00029204
eos,dot,0.08166154
eos,link,0.00743785
avax,eth,0.00343068
avax,btc,0.0001029
avax,ltc,0.1416119
avax,xrp,6.195242
avax,bch,0.03082947
avax,eos,105.565
avax,dot,8.620631
avax,link,0.78517936
bch,eth,0.11127923
bch,btc,0.00333804
bch,ltc,4.593394
bch,xrp,200.952
bch,eos,3424
bch,dot,279.623
bch,link,25.468466
ada,eth,8.331e-05
ada,btc,2.5e-06
ada,ltc,0.00343867
ada,xrp,0.15043516
ada,bch,0.00074861
ada,eos,2.563377
ada,dot,0.20932934
ada,link,0.01906602
dot,eth,0.00039796
dot,btc,1.194e-05
dot,ltc,0.01642709
dot,xrp,0.71865298
dot,bch,0.00357624
dot,eos,12.245667
dot,link,0.09108143
