currency_from,currency_to,exchange_rate
eth,btc,0.03003977
eth,ltc,41.471766
eth,xrp,1801
eth,bch,8.971339
eth,eos,30859
eth,dot,2510
eth,link,228.044
link,eth,0.00438513
link,btc,0.00013175
link,ltc,0.18185901
link,xrp,7.899498
link,bch,0.03934047
link,eos,135.319
link,dot,11.008714
ltc,eth,0.02411279
ltc,btc,0.00072445
ltc,xrp,43.437486
ltc,bch,0.21632403
ltc,eos,744.085
ltc,dot,60.534
ltc,link,5.498765
doge,eth,3.693e-05
doge,btc,1.11e-06
doge,ltc,0.00153139
doge,xrp,0.06651987
doge,bch,0.00033128
doge,eos,1.139486
doge,dot,0.09270187
doge,link,0.00842077
aave,eth,0.05237003
aave,btc,0.00157302
aave,ltc,2.171878
aave,xrp,94.341
aave,bch,0.46982935
aave,eos,1616
aave,dot,131.473
aave,link,11.942646
btc,eth,33.239318
btc,ltc,1378
btc,xrp,59878
btc,bch,298.201
btc,eos,1025716
btc,dot,83446
btc,link,7580
uni,eth,0.00203396
uni,btc,6.109e-05
uni,ltc,0.08435195
uni,xrp,3.664037
uni,bch,0.01824735
uni,eos,62.765
uni,dot,5.106189
uni,link,0.46383156
xrp,eth,0.00055511
xrp,btc,1.668e-05
xrp,ltc,0.02302159
xrp,bch,0.00498012
xrp,eos,17.130013
xrp,dot,1.393597
xrp,link,0.12659032
eos,eth,3.241e-05
eos,btc,9.75721e-07
eos,ltc,0.00134393
eos,xrp,0.05837707
eos,bch,0.00029073
eos,dot,0.08135409
eos,link,0.00738997
avax,eth,0.0034337
avax,btc,0.00010314
avax,ltc,0.14240175
avax,xrp,6.185574
avax,bch,0.03080492
avax,eos,105.959
avax,dot,8.620195
avax,link,0.7830338
bch,eth,0.11146608
bch,btc,0.00334859
bch,ltc,4.622695
bch,xrp,200.798
bch,eos,3440
bch,dot,279.832
bch,link,25.419115
ada,eth,8.359e-05
ada,btc,2.51e-06
ada,ltc,0.00346653
ada,xrp,0.15057729
ada,bch,0.00074989
ada,eos,2.579391
ada,dot,0.209844
ada,link,0.01906163
dot,eth,0.00039833
dot,btc,1.196e-05
dot,ltc,0.01651955
dot,xrp,0.71756775
dot,bch,0.00357358
dot,eos,12.291945
dot,link,0.09083713
