currency_from,currency_to,exchange_rate
eth,btc,0.03005608
eth,ltc,41.468034
eth,xrp,1800
eth,bch,8.97073
eth,eos,30872
eth,dot,2510
eth,link,228.207
link,eth,0.00438199
link,btc,0.00013172
link,ltc,0.18171244
link,xrp,7.889576
link,bch,0.03930963
link,eos,135.281
link,dot,10.996845
ltc,eth,0.02411496
ltc,btc,0.00072488
ltc,xrp,43.417918
ltc,bch,0.21632879
ltc,eos,744.479
ltc,dot,60.518
ltc,link,5.503201
doge,eth,3.69e-05
doge,btc,1.11e-06
doge,ltc,0.00153005
doge,xrp,0.06643142
doge,bch,0.00033099
doge,eos,1.139087
doge,dot,0.0925951
doge,link,0.00842015
aave,eth,0.05236603
aave,btc,0.0015738
aave,ltc,2.171516
aave,xrp,94.283
aave,bch,0.46976148
aave,eos,1617
aave,dot,131.415
aave,link,11.950289
btc,eth,33.24693
btc,ltc,1379
btc,xrp,59860
btc,bch,298.249
btc,eos,1026402
btc,dot,83435
btc,link,7587
uni,eth,0.00203256
uni,btc,6.109e-05
uni,ltc,0.08428611
uni,xrp,3.659527
uni,bch,0.01823351
uni,eos,62.749
uni,dot,5.100814
uni,link,0.46384336
xrp,eth,0.00055541
xrp,btc,1.67e-05
xrp,ltc,0.02303197
xrp,bch,0.00498248
xrp,eos,17.146814
xrp,dot,1.393845
xrp,link,0.12674953
eos,eth,3.239e-05
eos,btc,9.75196e-07
eos,ltc,0.00134322
eos,xrp,0.05831987
eos,bch,0.00029058
eos,dot,0.08128886
eos,link,0.00739202
avax,eth,0.00343187
avax,btc,0.00010314
avax,ltc,0.14231275
avax,xrp,6.178923
avax,bch,0.03078635
avax,eos,105.949
avax,dot,8.612461
avax,link,0.78317563
bch,eth,0.11147365
bch,btc,0.00335057
bch,ltc,4.622593
bch,xrp,200.703
bch,eos,3441
bch,dot,279.749
bch,link,25.439058
ada,eth,8.347e-05
ada,btc,2.51e-06
ada,ltc,0.00346137
ada,xrp,0.15028543
ada,bch,0.00074879
ada,eos,2.576916
ada,dot,0.2094746
ada,link,0.01904861
dot,eth,0.00039848
dot,btc,1.198e-05
dot,ltc,0.01652405
dot,xrp,0.7174399
dot,bch,0.00357463
dot,eos,12.301808
dot,link,0.09093517
