currency_from,currency_to,exchange_rate
eth,btc,0.03001571
eth,ltc,41.516772
eth,xrp,1800
eth,bch,8.969081
eth,eos,30812
eth,dot,2507
eth,link,228.066
link,eth,0.0043847
link,btc,0.00013162
link,ltc,0.18203863
link,xrp,7.893611
link,bch,0.03932674
link,eos,135.102
link,dot,10.990441
ltc,eth,0.02408665
ltc,btc,0.00072306
ltc,xrp,43.362286
ltc,bch,0.21603513
ltc,eos,742.163
ltc,dot,60.374
ltc,link,5.49334
doge,eth,3.689e-05
doge,btc,1.11e-06
doge,ltc,0.00153166
doge,xrp,0.06641619
doge,bch,0.00033089
doge,eos,1.13674
doge,dot,0.09247266
doge,link,0.00841392
aave,eth,0.05248669
aave,btc,0.0015753
aave,ltc,2.179078
aave,xrp,94.49
aave,bch,0.47075737
aave,eos,1617
aave,dot,131.56
aave,link,11.970415
btc,eth,33.285601
btc,ltc,1382
btc,xrp,59923
btc,bch,298.541
btc,eos,1025603
btc,dot,83432
btc,link,7591
uni,eth,0.00203305
uni,btc,6.102e-05
uni,ltc,0.08440582
uni,xrp,3.660029
uni,bch,0.01823462
uni,eos,62.643
uni,dot,5.095936
uni,link,0.46366985
xrp,eth,0.00055547
xrp,btc,1.668e-05
xrp,ltc,0.02306152
xrp,bch,0.0049821
xrp,eos,17.11541
xrp,dot,1.392321
xrp,link,0.12668473
eos,eth,3.245e-05
eos,btc,9.75737e-07
eos,ltc,0.00134741
eos,xrp,0.05842688
eos,bch,0.00029109
eos,dot,0.08134897
eos,link,0.00740179
avax,eth,0.00342308
avax,btc,0.00010274
avax,ltc,0.14211539
avax,xrp,6.162448
avax,bch,0.03070192
avax,eos,105.473
avax,dot,8.580106
avax,link,0.78068807
bch,eth,0.11149414
bch,btc,0.0033467
bch,ltc,4.628877
bch,xrp,200.719
bch,eos,3435
bch,dot,279.465
bch,link,25.427992
ada,eth,8.475e-05
ada,btc,2.54e-06
ada,ltc,0.00351853
ada,xrp,0.15257169
ada,bch,0.00076013
ada,eos,2.611327
ada,dot,0.21242877
ada,link,0.0193285
dot,eth,0.00039896
dot,btc,1.197e-05
dot,ltc,0.01656336
dot,xrp,0.71822516
dot,bch,0.00357827
dot,eos,12.292718
dot,link,0.09098816
